상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
리폼드 크로스핏,크로스핏,영업중,"서울특별시 양천구 오목로 340, 협성빌딩 A동 지하1층 (목동)",양천구,사립,37.52415424103152,126.87181781998652,2019-12-12,
크로스핏헬퍼2호점 DMC상암점,크로스핏,영업중,"서울특별시 마포구 성암로13길 25, 지하2층  B201호 (상암동, 태림펜트윈)",마포구,사립,37.57700251006968,126.8940564194927,2022-01-28,
리복크로스핏문정,크로스핏,영업중,"서울특별시 송파구 동남로 108, 지하1층 1호 (문정동, 모즈아울렛)",송파구,사립,37.489694899806985,127.12054201920313,2016-07-06,
크로스핏 힙스터 (Crossfit Hipster),크로스핏,영업중,"서울특별시 송파구 새말로 177, MK빌딩 (문정동)",송파구,사립,37.4862969256885,127.12927968921328,2018-05-31,
크로스핏 에이블,크로스핏,영업중,"서울특별시 송파구 석촌호수로 272, 지하1층 (송파동)",송파구,사립,37.51002921500754,127.10307902456869,2012-04-24,
크로스핏앤서,크로스핏,영업중,서울특별시 송파구 위례성대로 180 (오금동),송파구,사립,37.51015771273111,127.12793761783034,2015-07-16,
Crossfit 피어스 배틀,크로스핏,영업중,서울특별시 송파구 올림픽로10길 16 (잠실동),송파구,사립,37.51019014662358,127.07819730114988,2015-03-06,
크로스핏거여 앤 탑스포츠클럽,크로스핏,영업중,"서울특별시 송파구 오금로 508 (거여동, 스타빌딩)",송파구,사립,37.49283039516923,127.14215988107995,2008-04-10,
크로스핏혼,크로스핏,영업중,"서울특별시 영등포구 국제금융로 72 (여의도동, 호정빌딩 지하2층)",영등포구,사립,37.52110434293123,126.92798501597085,2015-09-07,
CrossFit Movement,크로스핏,영업중,"서울특별시 영등포구 영신로 228-6 (영등포동8가, 한양아이클래스오피스텔 B102호)",영등포구,사립,37.52746611478737,126.9011115209783,2015-10-06,
크로스핏 킹콩,크로스핏,영업중,"서울특별시 영등포구 문래로26길 6, 101동 비121호 (문래동3가, 문래동메가트리움)",영등포구,사립,37.518089079715644,126.89458506332267,2015-11-11,
골든 크라운 크로스핏,크로스핏,영업중,"서울특별시 서초구 강남대로 349, 지하2층 (서초동, 우남빌딩)",서초구,사립,37.49393302415786,127.026114223239,2016-08-26,
크로스핏 제니아,크로스핏,영업중,"서울특별시 서초구 서래로8길 7 (반포동, 포도빌딩 지하1층)",서초구,사립,37.498743342211355,126.99604399653084,2014-06-30,
